Текст;Вопрос1;Вопрос2;Вопрос3
The sun is the star at the center of our solar system. It provides the energy necessary for life on Earth through a process called nuclear fusion.;What is the sun?;"How does the sun provide energy?
";What process occurs in the sun?
"Elephants are the largest land animals. They have strong social bonds and communicate using infrasound, which is inaudible to humans.
";What is the largest land animal?;"How do elephants communicate?
";What is infrasound?
"The Eiffel Tower was completed in 1889 as the entrance arch for the World's Fair in Paris. It remains one of the most famous landmarks in the world.
";"When was the Eiffel Tower completed?
";What event was it built for?;Where is the Eiffel Tower located?
Water boils at 100°C at sea level. However, at higher altitudes, the boiling point decreases due to lower atmospheric pressure.;"At what temperature does water boil at sea level?
";How does altitude affect boiling point?;"Why does atmospheric pressure change boiling point?
"
"The Amazon Rainforest is home to millions of species of plants and animals. It plays a crucial role in regulating the Earth's climate by producing oxygen.
";Where is the Amazon Rainforest located?;Why is the Amazon important for the climate?;"What types of organisms live in the Amazon Rainforest?
"
"The Great Wall of China stretches over 13,000 miles and was built to protect Chinese states from invasions. Construction began as early as the 7th century BC.
";"How long is the Great Wall of China?
";"Why was the Great Wall built?
";When did the construction of the wall begin?
"William Shakespeare was an English playwright and poet, known for works like ""Hamlet"" and ""Romeo and Juliet."" His influence on literature is immense.";"Who was William Shakespeare?
";Name two of Shakespeare’s famous works.;"How did Shakespeare influence literature?
"
The Pacific Ocean is the largest and deepest ocean on Earth, covering more than 63 million square miles. It is home to diverse marine life.;What is the largest ocean on Earth?;"How big is the Pacific Ocean?
";"What kind of life can be found in the Pacific Ocean?

"
The human brain consists of billions of neurons that transmit electrical and chemical signals. It controls all bodily functions and cognitive processes.;"What does the human brain consist of?
";"How does the brain transmit information?
";"What are the main functions of the brain?
"
The Mona Lisa is a famous painting by Leonardo da Vinci. It is known for its mysterious smile and is displayed in the Louvre Museum in Paris.;"Who painted the Mona Lisa?
";"What is special about the Mona Lisa?
";Where is the Mona Lisa displayed?